 TTP Training,,,,,,,,,,,,,,,
On a scale of 1 to 5:,,,,,,,,,,,,,,,
5 Very useful,,,,,,,,,,,,,,,
4 Useful,,,,,,,,,,,,,,,
3 Somewhat useful,,,,,,,,,,,,,,,
2 Probably not useful,,,,,,,,,,,,,,,
1 Definitely a waste of time,1 â€?5,,,,,,,,,,,,,,
** HTML,,,,,,,,,,,,,,,
Do you  feel that learning the Box Model of HTML was:,,,,,,5,,,,,,,,,
,,,,,,,,,,,,,,,
** CSS,,,,,,,,,,,,,,,
Do you feel that learning css was:,,,,5,,,,,,,,,,,
Do you feel that learning how to modify margins and padding was useful,,,,,,,,5,,,,,,,
,,,,,,,,,,,,,,,
** Terminal,,,,,,,,,,,,,,,
I feel that learning the terminal commands,,,,,5,,,,,,,,,,
,,,,,,,,,,,,,,,
** Git and Collaboration,,,,,,,,,,,,,,,
Do you feel that learning how to clone a repository was useful,,,,,,,5,,,,,,,,
Do you feel that learning how to branch your repository was useful,,,,,,,5,,,,,,,,
Do you feel that learning how to send a pull request was useful,,,,,,,5,,,,,,,,
,,,,,,,,,,,,,,,
** Food,,,,,,,,,,,,,,,
"Do you feel that adequate food was provided: (1 lowest, 5 highest)",,,,,,,,,,,,,,,
    Quality,,4,,,,,,,,,,,,,
    Amount,,3,,,,,,,,,,,,,
    Variety,,3,,,,,,,,,,,,,
    Comments,,3,,,,,,,,,,,,,
    ,,,,,,,,,,,,,,,
** Space,,,,,,,,,,,,,,,
Was the room adequate for the materials:,,,,4,,,,,,,,,,,
Was the temprature comfortable,,,,3,,,,,,,,,,,
Were the chairs comfortable,,,,3,,,,,,,,,,,
Did you have adequate power,,,,5,,,,,,,,,,,
Would tables have been useful?,,,,4,,,,,,,,,,,
Were you able to see the projector?,,,,4,,,,,,,,,,,
Was the wifi connection reliable?,,,,4,,,,,,,,,,,
Would you have preferred a wired connection?,,,,,2,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Laptops,,,,,,,,,,,,,,,
Was it a burden for you to bring your laptop?,,,,,3,,,,,,,,,,
Would you have preferred to use QC computers?,xxxxxxxxx,,,,3,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
** Instructor,,,,,,,,,,,,,,,
Did the instructor have a good command of the material?,,,,,,4,,,,,,,,,
Was the instructor helpful?,,,,,,4,,,,,,,,,
Did the instructor care about your success?,,,,,,3,,,,,,,,,
Did the instructor maintain good pacing?,,,,,,3,,,,,,,,,
,,,,,,,,,,,,,,,
**Classroom Technology,,,,,,,,,,,,,,,
Was canvas helpful for you?,,,,,,4,,,,,,,,,
Did you find the etherpad helpful?,,,,,,4,,,,,,,,,
Did you resent about being asked to join:,,,,,,yes,,,,,,,,,
    ,,,,,,,,,,,,,,,
    A facebook group,,,,,,yes,,,,,,,,,
    A Google+ group,,,,,,yes,,,,,,,,,
    A LinkedIn group,,,,,,yes,,,,,,,,,
    ,,,,,,,,,,,,,,,
** TA,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Did the TA have a good command of the material?,,,,,,4,,,,,,,,,
Was the TA helpful?,,,,,,4,,,,,,,,,
Did the TA care about your success?,,,,,,4,,,,,,,,,
Did you find the resources helpful?,,,,,,4,,,,,,,,,
,,,,,,,,,,,,,,,
** Forms,,,,,,,,,,,,,,,
Do you understand why you had to fill out a Customer Information Form (Workforce 1 form about demographics employment status and work history)?,,,,,,,,,,,,,,,
yes,,,,,,,,,,,,,,,
Do you understand why you had to sign the Individual Photo Release Form?,,,,,,,,,,,,,,,
yes,,,,,,,,,,,,,,,
Do you understand why you had to sign that you received a copy of the Policies & Procedures Handbook and that you understood it?,,,,,,,,,,,,,,,
yes,,,,,,,,,,,,,,,
Do you understand why you had to sign a form saying you read understood and agree that you are an eligible applicant for the TTP?,,,,,,,,,,,,,,,
yes,,,,,,,,,,,,,,,
5 Most complaints.....1 no bother at all,,,,,,,,,,,,,,,
'============================================================================================================,,,,,,,,,,,,,,,
Do you have any complaints about the process of filling out these forms? ,,,,,,,,2,,,,,,,
Do you have any complaints bout how long it took?,,,,,,,,3,,,,,,,
Do you have any complaints about how organized it was?,,,,,,,,2,,,,,,,
Do you resent signing any of this forms?,,,,,,,,2,,,,,,,
,,,,,,,,,,,,,,,
Do you understand why we have a code of conduct?,,,,,,,,,3,,,,,,
Do you understand why you can only work between 15 and 19 hours?,,,,,,,,,3,,,,,,
Do you understand that you cannot work more than 7 hours in a day? (PENDING),,,,,,,,,5,,,,,,
,,,,,,,,,,,,,,,
Do you understand that you can only work during the week and only with a supervisor present?,,,,,,,,,,yes,,,,,
Do you understand that you cannot work on weekends?,,,,,,,,,,yes,,,,,
Do you understand that you cannot work from home or any remote location?,,,,,,,,,,yes,,,,,
Do you understand that you can be terminated for reasons such as excessive lateness poor attendance and lack of professionalism?,,,,,,,,,,,,,,,yes
Do you understand that you must set a schedule and set goals with your supervisor for the length of the program?,,,,,,,,,,,,,,,yes
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
** Tech stack â€?----5 â€?understand/agree    â€? 1 â€?total mystery/outdated,,,,,,,,,,,,,,,
'============================================================================================================,,,,,,,,,,,,,,,
Do you know the tech stack of your host company?,,,,,,,,3,,,,,,,
Do you feel that the tech stack of your host company is up to date?,,,,,,,,3,,,,,,,
Do you know your supervisors name and contact information?,,,,,,,,3,,,,,,,
,,,,,,,,,,,,,,,
** Placement  ----5 totally psyched....1 nervous/unsure,,,,,,,,,,,,,,,
'============================================================================================================,,,,,,,,,,,,,,,
Do you have any concerns about your placement?,,,,,,,,,,,,,,,
Do you know who your supervisor is?,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
** Concerns,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
** Omitted Questions,,,,,,,,,,,,,,,
Please let us know any other questions we should be asking,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
* Queens CS Experience --- 5 great â€?1 poor,,,,,,,,,,,,,,,
'============================================================================================================,,,,,,,,,,,,,,,
** Did you transfer? 1-Yes 2- No,,,,,,,,,,1,,,,,
** Did you feel that you learned Java well?,,,,,,,,,,1,,,,,
** Did you feel that you learned C++ well?,,,,,,,,,,1,,,,,
** Did you feel that you know enough other languages?,,,,,,,,,,2,,,,,
** Did you enjoy your time at Queens in CS?,,,,,,,,,,1,,,,,
** Would you be interested in furthering your education in a formal CS MA/Phd program?,,,,,,,,,,1,,,,,
** Did you work on any original research projects as a student at QC?,,,,,,,,,,2,,,,,
** What was your favorite thing about your classes at QC?,,,,,,,,,,,,,,,
** What did you feel helped you grow the most intellectually?,,,,,,,,,,,,,,,
** Did you feel the professors in CS treated you fairly?,,,,,,,,,,,,,,,
** Do you think the full-time professors taught you more than the adjuncts?,,,,,,,,,,,,,,,
** Do you think the professors full time or adjunct were interested in your success?,,,,,,,,,,,,,,,
** How easy was it to get access to tutoring/extra help at QC for CS?,,,,,,,,,,no easy,,,,,
** Was the tutoring useful provided by QC useful?,,,,,,,,,,2,,,,,
** Did you feel that the tutors were interested in your success?,,,,,,,,,,1,,,,,
** What did you enjoy most about QC CS?,,,,,,,,,,2,,,,,
** What questions should have I asked but did not?,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
I feel that freshman would benefit from including this in the CS curriculum â€?5 Highly useful â€?1 totally useless,,,,,,,,,,,,,,,
'============================================================================================================,,,,,,,,,,,,,,,
HTML,,,,,,,5,,,,,,,,
CSS,,,,,,,5,,,,,,,,
Terminal,,,,,,,5,,,,,,,,
Git,,,,,,,4,,,,,,,,
Collaborative Software Development,,,,,,,5,,,,,,,,
Javascript,,,,,,,5,,,,,,,,
Open Source Projects,,,,,,,5,,,,,,,,
