 TTP Training,
On a scale of 1 to 5:,
5 Very useful,
4 Useful,
3 Somewhat useful,
2 Probably not useful,
1 Definitely a waste of time,
** HTML,
Do you  feel that learning the Box Model of HTML was:,3
,
** CSS,
Do you feel that learning css was:,3
Do you feel that learning how to modify margins and padding was useful,3
,
** Terminal,
I feel that learning the terminal commands,3
,
** Git and Collaboration,
Do you feel that learning how to clone a repository was useful,3
Do you feel that learning how to branch your repository was useful,3
Do you feel that learning how to send a pull request was useful,3
,
** Food,
"Do you feel that adequate food was provided: (1 lowest, 5 highest)",3
    Quality,3
    Amount,3
    Variety,3
    Comments,none
    ,
** Space,
Was the room adequate for the materials:,yes
Was the temprature comfortable,yes
Were the chairs comfortable,yes
Did you have adequate power,yes
Would tables have been useful?,no
Were you able to see the projector?,yes
Was the wifi connection reliable?,yes
Would you have preferred a wired connection?,no
,
,
Laptops,
Was it a burden for you to bring your laptop?,no
Would you have preferred to use QC computers?,no
,
,
** Instructor,
Did the instructor have a good command of the material?,yes
Was the instructor helpful?,yes
Did the instructor care about your success?,yes
Did the instructor maintain good pacing?,yes
,
**Classroom Technology,
Was canvas helpful for you?,yes
Did you find the etherpad helpful?,yes
Did you resent about being asked to join:,
    ,
    A facebook group,no
    A Google+ group,no
    A LinkedIn group,no
    ,
** TA,
,
Did the TA have a good command of the material?,yes
Was the TA helpful?,yes
Did the TA care about your success?,yes
Did you find the resources helpful?,yes
,
** Forms,
Do you understand why you had to fill out a Customer Information Form (Workforce 1 form about demographics employment status and work history)?,yes
Do you understand why you had to sign the Individual Photo Release Form?,yes
Do you understand why you had to sign that you received a copy of the Policies & Procedures Handbook and that you understood it?,yes
Do you understand why you had to sign the Individual Photo Release Form?,yes
Do you understand why you had to sign that you received a copy of the Policies & Procedures Handbook and that you understood it?,yes
Do you understand why you had to sign a form saying you read understood and agree that you are an eligible applicant for the TTP?,yes
,
5 Most complaints.....1 no bother at all,
Do you have any complaints about the process of filling out these forms? ,3
Do you have any complaints bout how long it took?,3
Do you have any complaints about how organized it was?,3
Do you resent signing any of this forms?,3
,
Do you understand why we have a code of conduct?,yes
Do you understand why you can only work between 15 and 19 hours?,yes
Do you understand that you cannot work more than 7 hours in a day? (PENDING),yes
,
Do you understand that you can only work during the week and only with a supervisor present?,yes
Do you understand that you cannot work on weekends?,yes
Do you understand that you cannot work from home or any remote location?,yes
Do you understand that you can be terminated for reasons such as excessive lateness poor attendance and lack of professionalism?,yes
Do you understand that you must set a schedule and set goals with your supervisor for the length of the program?,yes
,
,
** Tech stack –-----5 – understand/agree    …. 1 – total mystery/outdated,
'============================================================================================================,
Do you know the tech stack of your host company?,4
Do you feel that the tech stack of your host company is up to date?,4
Do you know your supervisors name and contact information?,4
,
** Placement  ----5 totally psyched....1 nervous/unsure,
'============================================================================================================,
Do you have any concerns about your placement?,no
Do you know who your supervisor is?,yes
,
** Concerns,
,
** Omitted Questions,
Please let us know any other questions we should be asking,
,
* Queens CS Experience --- 5 great … 1 poor,
'============================================================================================================,
** Did you transfer? 1-Yes 2- No,2
** Did you feel that you learned Java well?,yes
** Did you feel that you learned C++ well?,yes
** Did you feel that you know enough other languages?,yes
** Did you enjoy your time at Queens in CS?,yes
** Would you be interested in furthering your education in a formal CS MA/Phd program?,not at the moment
** Did you work on any original research projects as a student at QC?,yes
** What was your favorite thing about your classes at QC?,the people are nice
** What did you feel helped you grow the most intellectually?,the environment
** Did you feel the professors in CS treated you fairly?,yes
** Do you think the full-time professors taught you more than the adjuncts?,no
** Do you think the professors full time or adjunct were interested in your success?,yes
** How easy was it to get access to tutoring/extra help at QC for CS?,easy
** Was the tutoring useful provided by QC useful?,yes
** Did you feel that the tutors were interested in your success?,yes
** What did you enjoy most about QC CS?,smart people
** What questions should have I asked but did not?,
,
,
I feel that freshman would benefit from including this in the CS curriculum – 5 Highly useful … 1 totally useless,
'============================================================================================================,
HTML,2
CSS,2
Terminal,5
Git,5
Collaborative Software Development,3
Javascript,3
Open Source Projects,4
