 TTP Training,,,,,,,,,,
On a scale of 1 to 5:,,5,,,,,,,,
5 Very useful,,,,,,,,,,
4 Useful,,,,,,,,,,
3 Somewhat useful,,,,,,,,,,
2 Probably not useful,,,,,,,,,,
1 Definitely a waste of time,1 дус 5,,,,,,,,,
** HTML,,,,,,,,,,
Do you  feel that learning the Box Model of HTML was:,,,,,useful,,,,,
,,,,,,,,,,
** CSS,,,,,,,,,,
Do you feel that learning css was:,,,,,useful,,,,,
Do you feel that learning how to modify margins and padding was useful,,,,,,useful,,,,
,,,,,,,,,,
** Terminal,,,,,,,,,,
I feel that learning the terminal commands,,,,,,very useful,,,,
,,,,,,,,,,
** Git and Collaboration,,,,,,,,,,
Do you feel that learning how to clone a repository was useful,,,,,,useful,,,,
Do you feel that learning how to branch your repository was useful,,,,,,useful,,,,
Do you feel that learning how to send a pull request was useful,,,,,,useful,,,,
,,,,,,,,,,
** Food,,,,,,,,,,
"Do you feel that adequate food was provided: (1 lowest, 5 highest)",,,,,,,,,,
    Quality,,4,,,,,,,,
    Amount,,3,,,,,,,,
    Variety,,3,,,,,,,,
    Comments,,more food,,,,,,,,
    ,,,,,,,,,,
** Space,,,,,,,,,,
Was the room adequate for the materials:,,,,yes,,,,,,
Was the temprature comfortable,,,,yes,,,,,,
Were the chairs comfortable,,,,yes,,,,,,
Did you have adequate power,,,,yes,,,,,,
Would tables have been useful?,,,,yes,,,,,,
Were you able to see the projector?,,,,yes,,,,,,
Was the wifi connection reliable?,,,,yes,,,,,,
Would you have preferred a wired connection?,,,,yes,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Laptops,,,,,,,,,,
Was it a burden for you to bring your laptop?,,,,no,,,,,,
Would you have preferred to use QC computers?,xxxxxxxxx,,,no,,,,,,
,,,,,,,,,,
,,,,,,,,,,
** Instructor,,,,,,,,,,
Did the instructor have a good command of the material?,,,,,yes,,,,,
Was the instructor helpful?,,,,,yes,,,,,
Did the instructor care about your success?,,,,,yes,,,,,
Did the instructor maintain good pacing?,,,,,yes,,,,,
,,,,,,,,,,
**Classroom Technology,,,,,,,,,,
Was canvas helpful for you?,,,,,yes,,,,,
Did you find the etherpad helpful?,,,,,yes,,,,,
Did you resent about being asked to join:,,,,,,,,,,
    ,,,,,,,,,,
    A facebook group,,,,,no,,,,,
    A Google+ group,,,,,no,,,,,
    A LinkedIn group,,,,,no,,,,,
    ,,,,,,,,,,
** TA,,,,,,,,,,
,,,,,,,,,,
Did the TA have a good command of the material?,,,,,yes,,,,,
Was the TA helpful?,,,,,yes,,,,,
Did the TA care about your success?,,,,,yes,,,,,
Did you find the resources helpful?,,,,,yes,,,,,
,,,,,,,,,,
** Forms,,,,,,,,,,
Do you understand why you had to fill out a Customer Information Form (Workforce 1 form about demographics employment status and work history)?,,,,,,,,,,
yes,,,,,,,,,,
Do you understand why you had to sign the Individual Photo Release Form?,,,,,,,,,,
yes,,,,,,,,,,
Do you understand why you had to sign that you received a copy of the Policies & Procedures Handbook and that you understood it?,,,,,,,,,,
yes,,,,,,,,,,
Do you understand why you had to sign a form saying you read understood and agree that you are an eligible applicant for the TTP?,,,,,,,,,,
yes,,,,,,,,,,
5 Most complaints.....1 no bother at all,,,,,,,,,,
'============================================================================================================,,,,,,,,,,
Do you have any complaints about the process of filling out these forms? ,,,,,,no,,,,
Do you have any complaints bout how long it took?,,,,,,no,,,,
Do you have any complaints about how organized it was?,,,,,,no,,,,
Do you resent signing any of this forms?,,,,,,no,,,,
,,,,,,,,,,
Do you understand why we have a code of conduct?,,,,,,,no,,,
Do you understand why you can only work between 15 and 19 hours?,,,,,,,yes,,,
Do you understand that you cannot work more than 7 hours in a day? (PENDING),,,,,,,yes,,,
,,,,,,,,,,
Do you understand that you can only work during the week and only with a supervisor present?,,,,,,,,yes,,
Do you understand that you cannot work on weekends?,,,,,,,,no,,
Do you understand that you cannot work from home or any remote location?,,,,,,,,yes,,
Do you understand that you can be terminated for reasons such as excessive lateness poor attendance and lack of professionalism?,,,,,,,,,,yes
Do you understand that you must set a schedule and set goals with your supervisor for the length of the program?,,,,,,,,,,yes
,,,,,,,,,,
,,,,,,,,,,
** Tech stack дус-----5 дус understand/agree    ду_. 1 дус total mystery/outdated,,,,,,,,,,
'============================================================================================================,,,,,,,,,,
Do you know the tech stack of your host company?,,,,,,3,,,,
Do you feel that the tech stack of your host company is up to date?,,,,,,3,,,,
Do you know your supervisors name and contact information?,,,,,,4,,,,
,,,,,,,,,,
** Placement  ----5 totally psyched....1 nervous/unsure,,,,,,,,,,
'============================================================================================================,,,,,,,,,,
Do you have any concerns about your placement?,,,,,,no,,,,
Do you know who your supervisor is?,,,,,,Hsin Hsiao(not 100% sure),,,,
,,,,,,,,,,
** Concerns,,,,,,,,,,
,,,,,,,,,,
** Omitted Questions,,,,,,,,,,
Please let us know any other questions we should be asking,,,,,,,,,,
,,,,,,,,,,
* Queens CS Experience --- 5 great ду_ 1 poor,,,,,,,,,,
'============================================================================================================,,,,,,,,,,
** Did you transfer? 1-Yes 2- No,,,,,no,,,,,
** Did you feel that you learned Java well?,,,,,3,,,,,
** Did you feel that you learned C++ well?,,,,,3,,,,,
** Did you feel that you know enough other languages?,,,,,3,,,,,
** Did you enjoy your time at Queens in CS?,,,,,4,,,,,
** Would you be interested in furthering your education in a formal CS MA/Phd program?,,,,,,,yes,,,
** Did you work on any original research projects as a student at QC?,,,,,,,no,,,
** What was your favorite thing about your classes at QC?,,,,,,,algorithm class,,,
** What did you feel helped you grow the most intellectually?,,,,,,,getting to know other people,,,
** Did you feel the professors in CS treated you fairly?,,,,,,,not really for some,,,
** Do you think the full-time professors taught you more than the adjuncts?,,,,,,,no,,,
** Do you think the professors full time or adjunct were interested in your success?,,,,,,,somewhat,,,
** How easy was it to get access to tutoring/extra help at QC for CS?,,,,,,,1,,,
** Was the tutoring useful provided by QC useful?,,,,,,,no,,,
** Did you feel that the tutors were interested in your success?,,,,,,,no,,,
** What did you enjoy most about QC CS?,,,,,,,learning different algorithms,,,
** What questions should have I asked but did not?,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
I feel that freshman would benefit from including this in the CS curriculum дус 5 Highly useful ду_ 1 totally useless,,,,,,,,,,
'============================================================================================================,,,,,,,,,,
HTML,,3,,,,,,,,
CSS,,3,,,,,,,,
Terminal,,5,,,,,,,,
Git,,5,,,,,,,,
Collaborative Software Development,,,,5,,,,,,
Javascript,,,,4,,,,,,
Open Source Projects,,,,5,,,,,,
