 TTP Training,,,,,,,,,,,,,,,,,,
On a scale of 1 to 5:,,,,,,,,,,,,4,,,,,,
5 Very useful,,,,,,,,,,,,,,,,,,
4 Useful,,,,,,,,,,,,,,,,,,
3 Somewhat useful,,,,,,,,,,,,,,,,,,
2 Probably not useful,,,,,,,,,,,,,,,,,,
1 Definitely a waste of time,1 â€“ 5,,,,,,,,,,,,,,,,,
** HTML,,,,,,,,,,,,,,,,,,
Do you  feel that learning the Box Model of HTML was:,,,,,,,,,,,,It has proven to be the necessary skills nedded for my intenship.,,,,,,
,,,,,,,,,,,,,,,,,,
** CSS,,,,,,,,,,,,,,,,,,
Do you feel that learning css was:,,,,,,,,,,,,It is also one of the required skills for my internship.,,,,,,
Do you feel that learning how to modify margins and padding was useful,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
** Terminal,,,,,,,,,,,,,,,,,,
I feel that learning the terminal commands,,,,,,,,,,,,I learned very useful commands.,,,,,,
,,,,,,,,,,,,,,,,,,
** Git and Collaboration,,,,,,,,,,,,,,,,,,
Do you feel that learning how to clone a repository was useful,,,,,,,,,,,,It was one of the most important skills learned so far,,,,,,
Do you feel that learning how to branch your repository was useful,,,,,,,,,,,,It was one of the most important skills learned so far,,,,,,
Do you feel that learning how to send a pull request was useful,,,,,,,,,,,,It was one of the most important skills learned so far,,,,,,
,,,,,,,,,,,,,,,,,,
** Food,,,,,,,,,,,,,,,,,,
"Do you feel that adequate food was provided: (1 lowest, 5 highest)",,,,,,,,,,,,,,,,,,
    Quality,,,,,,,,,,,,4,,,,,,
    Amount,,,,,,,,,,,,3,,,,,,
    Variety,,,,,,,,,,,,3,,,,,,
    Comments,,,,,,,,,,,,I am just glad to get free food,,,,,,
    ,,,,,,,,,,,,,,,,,,
** Space,,,,,,,,,,,,,,,,,,
Was the room adequate for the materials:,,,,,,,,,,,,I think we could have gotten a better room for this. The use of tables and chairs instead of the little desks would have been better.,,,,,,
Was the temprature comfortable,,,,,,,,,,,,yes,,,,,,
Were the chairs comfortable,,,,,,,,,,,,yes,,,,,,
Did you have adequate power,,,,,,,,,,,,yes,,,,,,
Would tables have been useful?,,,,,,,,,,,,yes,,,,,,
Were you able to see the projector?,,,,,,,,,,,,yes,,,,,,
Was the wifi connection reliable?,,,,,,,,,,,,yes,,,,,,
Would you have preferred a wired connection?,,,,,,,,,,,,no,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Laptops,,,,,,,,,,,,,,,,,,
Was it a burden for you to bring your laptop?,,,,,,,,,,,,no,,,,,,
Would you have preferred to use QC computers?,xxxxxxxxx,,,,,,,,,,,no,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
** Instructor,,,,,,,,,,,,,,,,,,
Did the instructor have a good command of the material?,,,,,,,,,,,,sort of,,,,,,
Was the instructor helpful?,,,,,,,,,,,,yes,,,,,,
Did the instructor care about your success?,,,,,,,,,,,,yes,,,,,,
Did the instructor maintain good pacing?,,,,,,,,,,,,yes,,,,,,
,,,,,,,,,,,,,,,,,,
**Classroom Technology,,,,,,,,,,,,,,,,,,
Was canvas helpful for you?,,,,,,,,,,,,yes,,,,,,
Did you find the etherpad helpful?,,,,,,,,,,,,yes,,,,,,
Did you resent about being asked to join:,,,,,,,,,,,,,,,,,,
    ,,,,,,,,,,,,,,,,,,
    A facebook group,,,,,,,,,,,,"no, I was glad to join",,,,,,
